classid;species label;species_name
2932643;0;Solanum chacoense Bitter
5330489;1;Arum pictum L.f.
5595992;2;Halenia palmeri A.Gray
4938845;3;Junellia crithmifolia N.O'Leary & P.Peralta (Gillies & Hook.)
3996042;4;Sorocephalus pinifolius Rourke (Salisb. ex Knight)
3618598;5;Catharanthus coriaceus Markgr.
5359489;6;Trifolium pilulare Boiss.
5342364;7;Tephrosia pedicellata Baker
5409049;8;Lobelia leucotos Albr.
5554163;9;Ruschia langebaanensis L.Bolus
2702393;10;Sparganium fluctuans B.L.Rob. (Engelm.)
3070464;11;Euphorbia angrae N.E.Br.
4051803;12;Polygala amara L.
3008953;13;Rosa albertii Regel
8201816;14;Perrottetia arisanensis Hayata
2777334;15;Aloe aculeata Pole-Evans
2873998;16;Aristolochia ringens Vahl
2715162;17;Cyperus platystylis R.Br.
4117169;18;Melica racemosa Thunb.
5301226;19;Potamogeton polygonifolius Pourr.
3083935;20;Chenopodium quinoa Willd.
2945772;21;Ophrestia madagascariensis Verdc. (F.J.Herm.)
5525669;22;Vincetoxicum funebre Boiss. & Kotschy
4170383;23;Pyrola renifolia Maxim.
7262338;24;Goodenia rotundifolia R.Br.
7267290;25;Cerastium mollissimum Poir.
3186001;26;Rhodamnia acuminata C.T.White
3174923;27;Myrcia guianensis DC. (Aubl.)
3131083;28;Tephroseris cladobotrys Griseb. & Schenk (Ledeb.)
3571740;29;Gonolobus chloranthus Schltdl.
3620865;30;Stephanostegia hildebrandtii Baill.
3053254;31;Rorippa nudiuscula Thell. (E.Mey. ex Sond.)
2903524;32;Isertia spiciformis DC.
2729323;33;Carex geyeri Boott
3833661;34;Agathosma marlothii Dümmer
7773337;35;Hermannia eenii Baker
4029359;36;Goniophlebium mengtzeense Rödl-Linder (Christ)
8203105;37;Pedicularis acaulis Scop.
5411136;38;Campanula expansa Rudolph
3573230;39;Hoya multiflora Blume
7287149;40;Grevillea willisii R.V.Sm. & Mc Gill.
5569005;41;Morina persica L.
3704783;42;Lampranthus staminodiosus Schwantes (L.Bolus)
9699724;43;Aizoon sarcophyllum Klak (Fenzl ex Harv. & Sond.)
3707295;44;Aloinopsis acuta L.Bolus
5640731;45;Primula longiscapa Ledeb.
5687048;46;Anisomeria littoralis Moq. (Poepp. & Endl.)
3170478;47;Matelea arizonica Shinners (A.Gray)
2723073;48;Carex pseudobrizoides Clavaud
8152001;49;Solenanthus stamineus Wettst. (Desf.)
7676241;50;Duma horrida T.M.Schust. (H.Gross)
7730948;51;Ipomoea suaveolens Hemsl. (M.Martens & Galeotti)
7567415;52;Corpuscularia taylori Schwantes (N.E.Br.)
7287049;53;Grevillea oxyantha Makinson
5417919;54;Eugenia florida DC.
4056113;55;Maculigilia maculata V.E.Grant (Parish)
3996150;56;Grevillea macleayana Olde & Marriott (Mc Gill.)
3171549;57;Penstemon concinnus D.D.Keck
3758958;58;Haloxylon salicornicum Bunge ex Boiss. (Moq.)
3034401;59;Eryngium lemmonii J.M.Coult. & Rose
2889608;60;Eriogonum argophyllum Reveal
5413353;61;Wahlenbergia akaroa J.A.Petterson
2888902;62;Chorizanthe xanti S.Watson
2767405;63;Scilla bithynica Boiss.
2703308;64;Oxytenanthera abyssinica Munro (A.Rich.)
3814782;65;Eremogone ferrisiae R.L.Hartm. & Rabeler (Abrams)
3771383;66;Pseudocalyx saccatus Radlk.
7891607;67;Gonolobus niger R.Br. (Cav.)
7334591;68;Hylotelephium ussuriense H.Ohba (Kom.)
2847903;69;Gavilea glandulifera M.N.Correa (Poepp. & Endl.)
2699242;70;Guzmania weberbaueri Mez
5362092;71;Crossosoma californicum Nutt.
2872279;72;Anthurium flexile Schott
2928118;73;Phacelia bolanderi A.Gray
3067666;74;Euphorbia trichadenia Pax
2725127;75;Carex californica L.H.Bailey
3755673;76;Maireana microphylla Paul G.Wilson (Moq.)
3772590;77;Mendoncia flagellaris Benoist (Baker)
2889550;78;Eriogonum bicolor M.E.Jones
5384256;79;Lewisia cotyledon B.L.Rob. (S.Watson)
8298709;80;Cucumis africanus L.fil.
5298491;81;Iris timofejewii Woronow
4060112;82;Lobostemon hottentoticus Levyns
7308262;83;Prostanthera denticulata R.Br.
3171483;84;Penstemon mensarum Pennell
7299255;85;Nolana peruviana I.M.Johnst. (Gaudich.)
2727804;86;Carex unilateralis Mack.
5286079;87;Podocarpus totara G.Benn. ex D.Don
7323370;88;Aerva sanguinolenta Blume (L.)
4148283;89;Sporobolus paniculatus T.Durand & Schinz (Trin.)
5609650;90;Callicarpa hypoleucophylla T.P.Lin & J.L.Wang
5405269;91;Olearia crebra E.K.Cameron & Heenan
2687870;92;Manoao colensoi Molloy (Hook.)
3938563;93;Abutilon greveanum Hochr. (Baill.)
2860163;94;Hymenocallis jaliscensis M.E.Jones
3703959;95;Erepsia patula Schwantes (Haw.)
3927315;96;Aconitum angustifolium Bernh. ex Rchb.
7270134;97;Gentiana loureiroi Griseb. (G.Don)
8126526;98;Erica walkeri Andr.
5560097;99;Phyllopodium bracteatum Benth.
2860108;100;Apodolirion lanceolatum Benth. & Hook.f. ex B.D.Jacks. (Thunb.)
3146399;101;Perityle tenella J.F.Macbr. (M.E.Jones)
3834199;102;Agathosma foetidissima Steud. (Bartl. & H.L.Wendl.)
2932691;103;Solanum lasiocarpum Dunal
2687186;104;Tsuga chinensis E.Pritz. (Franch.)
5296995;105;Ixia curta Andrews
7265288;106;Quinchamalium chilense Molina
3044285;107;Descurainia incana Dorn (Bernh. ex Fisch. & C.A.Mey.)
3062940;108;Tetrorchidium rotundatum Standl.
2920789;109;Psychotria platypoda DC.
7314774;110;Fumaria macrocarpa Parl.
8976894;111;Hexasepalum radulum Delprete & J.H.Kirkbr. (Willd.)
3086385;112;Peperomia glabella A.Dietr. (Sw.)
3075087;113;Joannesia princeps Vell.
5690470;114;Sedum monregalense Balb.
7670260;115;Daphne odora Thunb.
3838724;116;Vasconcellea chilensis Planch.
3708438;117;Neohenricia sibbettii L.Bolus (L.Bolus)
5554518;118;Ruschia capornii L.Bolus (L.Bolus)
2781357;119;Tainia minor Hook.f.
5417464;120;Eugenia siggersii Standl.
3190123;121;Agathosma crenulata Pillans (L.)
3176311;122;Eucalyptus infera A.R.Bean
3041645;123;Streptanthus oblanceolatus T.W.Nelson & J.P.Nelson
2880535;124;Quercus striatula Trel.
8091663;125;Gynochthodes canthoides Razafim. & B.Bremer (F.Muell.)
2775973;126;Eriospermum multifidum Marloth
3176533;127;Eucalyptus kitsoniana Luehm. ex Maiden
3063363;128;Trigonostemon fragilis Airy Shaw (Gagnep.)
8173871;129;Erica perlata Sinclair
3891602;130;Salvia pomifera L.
3045623;131;Cardamine circaeoides Hook.f. & Thomson
7295000;132;Trichodesma ambacense Welw.
3056833;133;Acalypha stachyura Pax
3007848;134;Rosa subbuschiana Husseinov
2721409;135;Rhynchospora compressa J.Carey ex Chapm.
2727559;136;Carex arkansana L.H.Bailey (L.H.Bailey)
4156406;137;Plantago floccosa Decne.
5688408;138;Crassula acinaciformis Schinz
4260115;139;Grewia sulcata Mast.
3176999;140;Eucalyptus umbra F.Muell. ex R.T.Baker
4929996;141;Stegnosperma halimifolium Benth.
2911611;142;Coprosma esulcata Fosberg (F.Br.)
5415409;143;Ruellia fulgida Andr.
3702891;144;Cephalophyllum goodii L.Bolus
3027665;145;Alchemilla nemoralis Alechin
8172309;146;Davallia pyxidata Cav.
5662631;147;Euclea tomentosa E.Mey. ex A.DC.
4261287;148;Grewia orbiculata Rottler
3190406;149;Triphasia trifolia P.Wilson (Burm.fil.)
8016454;150;Ornithoglossum viride Dryand. ex W.T.Aiton (L.f.)
7282017;151;Haageocereus acranthus Backeb. (Vaupel)
3000260;152;Rubus lindebergii P.J.Müll.
3859153;153;Miconia osaensis Aguilar, Kriebel & Almeda
2870742;154;Philodendron saxicola K.Krause
3940308;155;Hibiscus waterbergensis Exell
7268879;156;Philotheca brucei Paul G.Wilson (F.Muell.)
3028462;157;Alchemilla rhiphaea Juz.
5341549;158;Gilia leptantha Parish
3171815;159;Maurandya barclaiana Lindl.
3707598;160;Delosperma aereum L.Bolus (L.Bolus)
3775366;161;Asystasia atriplicifolia Bremek.
7327538;162;Erica filipendula Benth.
5544504;163;Heeria argentea Meisn. (Thunb.)
2898633;164;Amphidasya panamensis C.M.Taylor
3184182;165;Syzygium papyraceum B.Hyland
2856527;166;Allium maximowiczii Regel
7311580;167;Passerina truncata Bredenk. & A.E.van Wyk (Meisn.)
7582510;168;Tabebuia nodosa Griseb. (Griseb.)
3641947;169;Hermas intermedia C.Norman
9793088;170;Pentagramma viscosa Schuettp. & Windham (Nutt. ex D.C.Eaton)
6035828;171;Noaea mucronata Asch. & Schweinf. (Forssk.)
2732758;172;Attalea phalerata Mart. ex Spreng.
7300963;173;Droguetia iners Schweinf. (Forssk.)
5408078;174;Lobelia decurrens Cav.
3049599;175;Draba praealta Greene
3797191;176;Exodeconus pusillus Axelius (Bitter)
7276686;177;Aconitum ranunculoides Turcz.
